user_name	user_verified
Abhishek Srivastav	FALSE
Saikhom Mirabai Channu????????	FALSE
Big Breaking	FALSE
Cameron Hart	FALSE
Sab Joke H	FALSE
evija87	FALSE
Prashanth Kommunje	FALSE
Happy????	FALSE
Kristel Satumbaga	FALSE
madhusudan.official	FALSE
SHIVANSHU GIRI	FALSE
SATVIK PANDEY	FALSE
WASH YOUR HANDS ????	FALSE
BLUEBERRY????	FALSE
BlackCobra	FALSE
dhruv	FALSE
Joseph Esposito	FALSE
scott8970	FALSE
Digikraft Social	FALSE
Rohith Nair	FALSE
Hans Solo	FALSE
ajibtooÉ?õ	FALSE
Richard	FALSE
Caitlin Bennett	FALSE
Isaac Chabota Kanguya	FALSE
Christina Trajceska	FALSE
Mir Qurram Ali	FALSE
Teuta Skenderi	FALSE
FAWSL Full-Time	FALSE
Bronwyn MacDonald	FALSE
Sayan	FALSE
 which hit the shelves on 3rd June	FALSE
Prajwal M N	FALSE
cheche | a FOLKLORIAN ???®??çü	FALSE
Gandharv Kamala ?????????Ò?? ????????	FALSE
???˝??	FALSE
????†è¯?????? É???? ??????í?í? É?çí?É??É??????	FALSE
Asmara Dior & Co	FALSE
Amanda Gilligan	FALSE
Tatanarathecat	FALSE
Ian M	FALSE
Francis T. J. Ochoa	FALSE
anon69	FALSE
Arpita Venkatesh ??è?ã?èÉ?ç????É????è????????????ß????	FALSE
Irfan ???Ò?Å????	FALSE
Eloy Abel M. Mattan??	FALSE
mahogany32	FALSE
Tamara Romero	FALSE
insidethegames	FALSE
Hans Solo	FALSE
CDRBHASKAR2nd	FALSE
MMA India	FALSE
Ren??s	FALSE
Big Breaking	FALSE
Kemicz	FALSE
PhilSports.ph	FALSE
Leonie @??èˇ???????Ò???¶???ß	FALSE
Thrilok Kumar #MYLEADERRAHULGANDHIJI???è????????	FALSE
shaun	FALSE
Sen. Brant Feldman	FALSE
Sportsify Indian	FALSE
Matthew R	FALSE
em con s??c ??ê®??ç?	FALSE
Janak Keshriya	FALSE
SURESH	FALSE
Mem Khan	FALSE
Abhyudaya	FALSE
a	FALSE
Venkatesh Yadav	FALSE
????	FALSE
"???Ø????ã?è???Å???????´????????ã?è- change their mind,not the world!"	FALSE
Sports Et Cetera	FALSE
Yaritza Barbosa	FALSE
stories_feed2	FALSE
Sports Leo Africa	FALSE
MSK Doctors	FALSE
WSUlive	FALSE
Vinz ??????èØ	FALSE
cemaziyelevvel	FALSE
Edmir Dequi?Òa Lagui	FALSE
Saurav	FALSE
Ö??Öù?Ö??_ Ö??Ö?®Ö??Ö??Ö?? Rajpal Bhaker	FALSE
Daniel Andrade	FALSE
Praveen	FALSE
Oli????	FALSE
sports tweeter Matthias (tone setter)	FALSE
YHOSOKAWA	FALSE
"Benjamin, R.N. ???˙???Ê??????è¨É?çÉ??ã?èÉ??ã?è??êç"	FALSE
Inver ??????è?¢ˇÅ?¢ˇÅõ¢ˇÅ?¢ˇÅú¢ˇÅ?¢ˇÅ®????????????????	FALSE
†??†?? †??†?Ê WeyGud	FALSE
...	FALSE
Yvan Limson	FALSE
Kargokart	FALSE
KYHA	FALSE
Pavan Rangain	FALSE
Sky247	FALSE
.	FALSE
Rahil Sipai	FALSE
Subhash Patel	FALSE
 Sandakozhi 2	FALSE
jatinarya	FALSE
Motion Education	FALSE
Kaiden	FALSE
Bilstar	FALSE
Acumen Karnataka	FALSE
MikeThePundit	FALSE
Gillian	FALSE
Joga Sportivo	FALSE
pankaj bhatt	FALSE
Travis Perkins	FALSE
Gal Sport Betting-UG	FALSE
House & Garden SA	FALSE
Rajnikant	FALSE
MSportOfficial	FALSE
Active Rutland	FALSE
Olympics Updates	FALSE
CI Co-operative	FALSE
nON sTOP eROTIC cABARET #nSECmUSIC	FALSE
BasketballBuzz.ca ??????????è???çÅ	FALSE
WSUlive	FALSE
Christ Glory Family	FALSE
Choppies Botswana	FALSE
Olympics Updates	FALSE
Sunil	FALSE
Sathish Kumar	FALSE
Diamond Plaza	FALSE
Sky Sports Sverige???????¶	FALSE
Phanie???ç	FALSE
Biswajit Phukan	FALSE
Asmara Dior & Co	FALSE
SAI PAVAN É?ùã?èÉ?ùã?è	FALSE
Nic Radford-Powell	FALSE
tris	FALSE
Hans Vandendriessche	FALSE
????DEVI CAPITAL????	FALSE
Darshan Mundada	FALSE
Sivabalan	FALSE
Kate Nokwe	FALSE
Sarah Rendell	FALSE
Mohammed Sekouty	FALSE
Acumen Tamil Nadu	FALSE
AmazingNews	FALSE
Jamie Kay	FALSE
Aman Upadhyay	FALSE
Jas	FALSE
Arta Berisha	FALSE
anon69	FALSE
Muhit	FALSE
IOL Sport	FALSE
ë?ù?Å?ëùù?Å?É??ã?è	FALSE
Maiian Delos Reyes	FALSE
NBT	FALSE
AlvaroSANT?ÅSTICO?õ†?ˇ†????è≠???˙	FALSE
Mutwiri Mutuota	FALSE
Sumanben P. Chauhan	FALSE
Jaeton Hu	FALSE
Arnav Singh	FALSE
SM ????????	FALSE
Yaritza Barbosa	FALSE
Sanjiv K Pundir	FALSE
Prince Juneja	FALSE
anon69	FALSE
USA Basketball 3x3	FALSE
Olympics Updates	FALSE
Joey Lynch	FALSE
Mopedo	FALSE
Nevis Tourism	FALSE
Neeraj Tiwari	FALSE
Nehru Yuva Kendra Hooghly	FALSE
Erdi Pirana	FALSE
???˙??f??mera_En...	FALSE
jop??t	FALSE
Daniel Spring	FALSE
Lily Franklin	FALSE
Gaelen É??ã?è	FALSE
Adriatik Kelmendi	FALSE
Alexandria Faraday	FALSE
ooblah	FALSE
Hans Solo	FALSE
Hamizatul	FALSE
Jess	FALSE
Pete Sk	FALSE
Northeast Today	FALSE
?ù???ù?¶?ù???ù???ù???ù?ú?ù???ù??	FALSE
Ritesh Mahato	FALSE
Mary	FALSE
†ê? ã?? †?¶	FALSE
The Forge	FALSE
Kalyan	FALSE
Rob Bamford??è???è???è?	FALSE
BidishaÉÅ˙	FALSE
Giarc Nibisna ???˝???????ß	FALSE
Asmara Dior & Co	FALSE
Chandra Subramanian ????????	FALSE
Majidkhan's	FALSE
Eloy Abel M. Mattan??	FALSE
Brian Bertie	FALSE
Strats	FALSE
Karthikeyan Krishnan	FALSE
Atiya Bose	FALSE
kaa	FALSE
Mike Pavitt	FALSE
BP2	FALSE
SwimSwam Live	FALSE
Soccerdonna	FALSE
Ayishatu Zakaria Ali	FALSE
Rahul Venkat	FALSE
Diversity Designs?? & SmileCloudsÉ?õã?è by Busy Life	FALSE
Tom Hinabo	FALSE
Wai-Lee Ho	FALSE
Carlo Anolin	FALSE
?Å˝?Åç?Å????????Åè???	FALSE
Insert Name Here	FALSE
Bea Micaller	FALSE
SPP Media Communication	FALSE
Kristel Satumbaga	FALSE
"Yashpratap Shrimal,IPS"	FALSE
Tristan D'Amours	FALSE
Dwight Jason Ronan	FALSE
Michaela Weller ????	FALSE
Pradip_Madgaonkar	FALSE
Nishar Ahamed	FALSE
Tishya Bhardwaj	FALSE
Peter Shaw	FALSE
wimbytickets	FALSE
Matthew Freebury ??????èØÉ?ç???Ø	FALSE
India Today Sports	FALSE
sudeep desai	FALSE
Lanrick Bennett Jr.	FALSE
vikram	FALSE
Ro$hane ???????????˝	FALSE
Annemarie Postma	FALSE
Gaurav Gulati	FALSE
Anis Bakri	FALSE
SportsIndiaShow	FALSE
Deepak Pandey	FALSE
Tejbir Singh????????	FALSE
Tony Tannous	FALSE
Garrick Knight	FALSE
saurav	FALSE
Saurabh Salimkumar	FALSE
kris	FALSE
AyeAI	FALSE
Keshri Nandan Prasad Gupta	FALSE
Gururaj Bhatia	FALSE
Sriram kachibhotla	FALSE
Creative Kea	FALSE
nasÉÅ˙??è?ã?èÉ?ç????	FALSE
Mandar Suhas Chakradeo	FALSE
Sarah Breslin Knaap	FALSE
Liahm O'Brien	FALSE
Ñ®??ü?????ü™?ü¶?????®	FALSE
The Bridge	FALSE
laum	FALSE
Faye Dobson	FALSE
Anks Kumar	FALSE
Luis Camacho	FALSE
Mohit Devatwal	FALSE
Reuben Terrado	FALSE
Doble Enganche	FALSE
Jake Donovan	FALSE
Top Tamil News	FALSE
Francis T. J. Ochoa	FALSE
Harrod Sport	FALSE
Heinz	FALSE
Roehl Sybing	FALSE
the But Kickers	FALSE
SportsTiger	FALSE
Juan Aguerrevere	FALSE
ShaBlah	FALSE
Little Bean	FALSE
Hari Priya CR	FALSE
vivi???ß harnasko/salos olympic podium	FALSE
Tahir ??ZG??R	FALSE
Anjelina P	FALSE
Tesla Diagnostics Center	FALSE
I'm RAYA	FALSE
Manish Raj	FALSE
Ravindra Kumar	FALSE
????DEVI CAPITAL????	FALSE
David Smith	FALSE
JK Lakshmi Cement	FALSE
EADP KwaZulu-Natal	FALSE
Vrunda	FALSE
kele	FALSE
Jono	FALSE
CHELSEA WOMEN TEAM	FALSE
Nagesh Guttedar	FALSE
Lachlan McKirdy	FALSE
Fiz???¯ã?è Sheikh	FALSE
Mohammad Farooq Inqlabi	FALSE
Anubhav Roda	FALSE
Phil	FALSE
??????ë??Ü??á??ë?ú?Å??Å?Ç???Å????¯???¨???˝???˙????	FALSE
Coach Siya Maloka	FALSE
MrShifter	FALSE
Salman Khawaja (#globalwoso)	FALSE
Anirban Paul	FALSE
Andy Robert Davies	FALSE
????	FALSE
Jake Donovan	FALSE
Jayant Singh Yadav	FALSE
Aspenia online	FALSE
SportsFreak_Sameer	FALSE
Mark Hemingway ????	FALSE
SR	FALSE
Yasuhiro.M	FALSE
India Today Sports	FALSE
Champions of Europe * *	FALSE
Hiroshi Lenorman ??ç?	FALSE
Kara Jurk	FALSE
India ???????? at #Tokyo2020	FALSE
DHRUVI	FALSE
def ???? | XIUOLO IS COMING	FALSE
Scott Smith	FALSE
Ö?¯Ö??Ö??Öù?Ö?Ê Ö??ÖùÅÖ??Ö??Ö?¯ Ö??Ö??Ö??Ö?ÊÖ??Ö?¯	FALSE
Mansing Bhor	FALSE
LivDates	FALSE
Jamie Bourne	FALSE
Harsh Pachissiya	FALSE
5haan	FALSE
Shrik :-)	FALSE
Bihar_wale	FALSE
Tony Nicol	FALSE
James McOnie	FALSE
Mark Lagos	FALSE
Ajanth Selvaraj	FALSE
SwimSwam Live	FALSE
AmazingNews	FALSE
Mukesh Kumar Rajan	FALSE
