user_name	user_friends
Abhishek Srivastav	39
"#Tokyo2020"""	0
Saikhom Mirabai Channu????????	5
Cameron Hart	37
Sab Joke H	88
"REAL                         VsÉ?? https://t.co/XLsJb2RH76"""	0
International Hockey Federation	2724
"#Tokyo2020 #CANvGER"""	0
Franz Halili	295
Happy????	592
Sandra ????????É?´ã?è	865
LOKESH ???????? MaskUp???˙StayHome??è?ã?è	303
"SQM Okazawa ???????Ê at First roundÉ?? https://t.co/aSAHeyluDe"""	0
The Field	602
A win to remember for @nagalsumit	TweetDeck
Kristel Satumbaga	41
?ù?ê?ù???ù?˝?ù?´ ?ù???ù?¶?ù???ù?¶?ù?®	106
BLUEBERRY????	15911
"WomenÉ??s Summer Olympics #Tokyo2020"""	0
Rappler Sports	147
Team India	411
"A brave @officialvkyadav bows oÉ?? https://t.co/ez0JesBLD3"""	0
scott8970	583
Rohith Nair	981
"https://t.co/XqBzaOCILj"""	0
Hans Solo	34
ajibtooÉ?õ	634
"#OlimpikTokyo #Tokyo2020?ˇ #DemiMalaysia"""	0
Richard	171
Caitlin Bennett	1016
"#Tokyo2020"""	0
Arun Pandey	170
Isaac Chabota Kanguya	1031
Christina Trajceska	1444
FAWSL Full-Time	1616
"#Japan #TeamGB #Tokyo2020"""	0
Bronwyn MacDonald	664
"#Hockey #Tokyo2020 #SSOlympics"""	0
Ian Pulzinski ???Ê???Ò???????ß	411
"#Tokyo2020 #7Olympics"""	0
HuffPost UK Entertainment	557
Gandharv Kamala ?????????Ò?? ????????	220
"#Olympics"""	0
???˝??	313
"#Tokyo2020?ˇ #DemiMalaysia #BadmintonMalaysia #BadmintonLovers"""	0
????†è¯?????? É???? ??????í?í? É?çí?É??É??????	4702
Tatanarathecat	447
Ian M	91
"Checkout eurosport channels 983 to 989 on the Sky box for wider coverage"""	0
Francis T. J. Ochoa	754
PIB in Odisha	386
CricTracker	809
"#MirabaiChanu #Cheer4IndiaÉ?? https://t.co/qznQt918Ps"""	1
Prof. Saket Kushwaha	89
"#Cheer4India #OlympicsÉ?? https://t.co/zAJDkbw6S8"""	0
Gretchen Ho	1729
Hans Solo	34
CDRBHASKAR2nd	378
" #Tokyo2020É?? https://t.co/hScV5be5p7"""	0
Snr. Sir. Mulambula Mulenge	4020
Alexander Grant	444
Ren??s	323
Kemicz	445
"#Boxing?ˇ #Tokyo2020?ˇÉ?? https://t.co/8rAkpmAiLs"""	0
Xinhua Sports	6
Nikhila	761
Leonie @??èˇ???????Ò???¶???ß	415
"UNHCR, the UN Refugee Agency"	1924
#Tokyo2020	195
"É??ã?èBeckieÉ??s double was enough to give #TeamCanada a massive step towards qualificationÉ?? https://t.co/q9217jXOTO"""	0
Thrilok Kumar #MYLEADERRAHULGANDHIJI???è????????	4951
Sen. Brant Feldman	1358
NuttyOlympics	2
em con s??c ??ê®??ç?	442
SURESH	35
Venkatesh Yadav	245
"#TeamIndia https://t.co/3jscY6GheU"""	0
????	148
INQUIRER Sports	522
"???Ø????ã?è???Å???????´????????ã?è- change their mind,not the world!"	1198
The Mirror	4148
"https://t.co/juWqzkhMfB https://t.co/O9fPNLF8dw"""	1
Sports Et Cetera	228
"World champ Maggie MÉ?? https://t.co/ZlVoCL02s0"""	0
Allison Kennedy	103
"Tweet automatically posted when more medals are won inÉ?? https://t.co/xhO4hUkXBF"""	0
#Tokyo2020	436
"@TeamUSA face @TheNZTeam inÉ?? https://t.co/YfTdtkPJad"""	7
Yaritza Barbosa	1043
Aditya Gujjar	499
"#Tokyo2020É?? https://t.co/5SzaAd6Czx"""	0
Guardian sport	1788
"#Tokyo2020 https://t.co/RqKmQkLmY2"""	1
Vinz ??????èØ	116
AW	967
"#Tokyo2020 #Olympics #Athletics https://t.co/aUC5LE8HpL"""	0
OkikiWealth	3735
Edmir Dequi?Òa Lagui	417
Saurav	169
"You have made us all proud ??????èØÉ?? https://t.co/f80ayojBzZ"""	0
Ö??Öù?Ö??_ Ö??Ö?®Ö??Ö??Ö?? Rajpal Bhaker	1302
