user_name	user_verified
International Hockey Federation	TRUE
INQUIRER Sports	TRUE
International Hockey Federation	TRUE
Sandra ????????É?´ã?è	TRUE
The Field	TRUE
#Tokyo2020 for India	TRUE
Rappler Sports	TRUE
ANI Digital	TRUE
Nixon Joseph	TRUE
Arun Pandey	TRUE
HuffPost UK Entertainment	TRUE
PIB in Odisha	TRUE
SAIL	TRUE
CricTracker	TRUE
Prof. Saket Kushwaha	TRUE
Gretchen Ho	TRUE
International Hockey Federation	TRUE
Alexander Grant	TRUE
Xinhua Sports	TRUE
Nikhila	TRUE
"UNHCR, the UN Refugee Agency"	TRUE
888sport	TRUE
#Tokyo2020	TRUE
International Hockey Federation	TRUE
INQUIRER Sports	TRUE
Guardian sport	TRUE
AW	TRUE
BroBible	TRUE
IndiaToday	TRUE
DD News	TRUE
FIG	TRUE
The Field	TRUE
DStvZimbabwe	TRUE
HuffPost UK Entertainment	TRUE
GB Taekwondo ???™????	TRUE
Deepa Malik	TRUE
FOX Sports Asia	TRUE
Sky Sports	TRUE
TOI Plus	TRUE
World Rugby Sevens	TRUE
Olympics	TRUE
Reuters India	TRUE
Reuters	TRUE
The Tennis Podcast	TRUE
Kyodo News Sports	TRUE
HuffPost UK	TRUE
Rappler Sports	TRUE
Matt Elias	TRUE
Free Press Journal	TRUE
Chandigarh University	TRUE
Devin Heroux	TRUE
JanaSena Party	TRUE
FIE	TRUE
Juliet Macur	TRUE
GMA Sports	TRUE
INQUIRER Sports	TRUE
Bachubhai Khabad	TRUE
Ashley Baylor	TRUE
The FEI	TRUE
USA Weightlifting	TRUE
Rappler Sports	TRUE
Luisa Morales	TRUE
News18 Sports	TRUE
USA Rugby	TRUE
Great Britain Hockey	TRUE
Satish Upadhyay	TRUE
International Hockey Federation	TRUE
Firstpost Sports	TRUE
Sanjay Kishore	TRUE
Olympics	TRUE
FIG	TRUE
Kevin Baxter	TRUE
Philip Martin Matel	TRUE
Dr Darren Saunders	TRUE
HT Sports	TRUE
Nikhila	TRUE
Gracenote Olympic	TRUE
INQUIRER Sports	TRUE
SABC Sport	TRUE
Alastair Stewart	TRUE
Australian Swim Team	TRUE
NOIDA Authority	TRUE
Tennessee Swimming	TRUE
Shantanu Maheshwari	TRUE
Matt Barnes	TRUE
Express Sports	TRUE
The FEI	TRUE
SAIMedia	TRUE
FIG	TRUE
Matt Young	TRUE
The Age	TRUE
SUMITTAR BHULLAR	TRUE
The Times Of India	TRUE
INQUIRER Sports	TRUE
The National	TRUE
HT Sports	TRUE
Zaina Erhaim	TRUE
IndiaToday	TRUE
Joey Villar	TRUE
Luisa Morales	TRUE
OptaJason	TRUE
Pankaj Priyadershi	TRUE
Boxing Federation	TRUE
BBC Sport Wales	TRUE
Uta Pippig	TRUE
INQUIRER Sports	TRUE
David DeGuzman WFXR	TRUE
Eurosport	TRUE
Joey Villar	TRUE
Rappler Sports	TRUE
Rappler	TRUE
NDTV Sports	TRUE
Sports Express	TRUE
EastMojo	TRUE
Lindsay Bennett	TRUE
International Hockey Federation	TRUE
nay_meagen	TRUE
Mary-Anne Monckton	TRUE
National Lottery Good Causes	TRUE
Rappler Sports	TRUE
INQUIRER Sports	TRUE
The Field	TRUE
Firstpost Sports	TRUE
Alexander Grant	TRUE
Boria Majumdar	TRUE
ABS-CBN News	TRUE
Courier Mail Sport	TRUE
Telegraph Sport	TRUE
Ukraine's Mission to the EU	TRUE
Joe Prince-Wright	TRUE
IMMAF	TRUE
FIG	TRUE
SEN 1116	TRUE
India in Sri Lanka	TRUE
Debashish Samantaray	TRUE
Neiphiu Rio	TRUE
International Hockey Federation	TRUE
New Straits Times	TRUE
Team Ireland	TRUE
Field Hockey Canada	TRUE
International Hockey Federation	TRUE
GMA Sports	TRUE
Boxing Federation	TRUE
Deccan Herald	TRUE
#Tokyo2020	TRUE
Gretchen Ho	TRUE
The Advertiser Sport	TRUE
ABC SPORT	TRUE
Paralympic India	TRUE
Geetha Kothapalli	TRUE
Lirim Grei??evci	TRUE
Firstpost Sports	TRUE
Mark Stevens	TRUE
FIG	TRUE
Boxing Federation	TRUE
FINA	TRUE
RT?? Sport	TRUE
The Field	TRUE
Kakalabanda	TRUE
Outlook Magazine	TRUE
David DeGuzman WFXR	TRUE
DD India	TRUE
Telegraph Sport	TRUE
Boxing Federation	TRUE
Devin Heroux	TRUE
nay_meagen	TRUE
Sportsbet.com.au	TRUE
PA Sport	TRUE
Rappler Sports	TRUE
India.com	TRUE
Ö??Öù?Ö??Ö?¯Ö??Ö?? ????????	TRUE
Jay Holder	TRUE
International Hockey Federation	TRUE
Jazz Carlin	TRUE
Mary-Anne Monckton	TRUE
Kyodo News Sports	TRUE
Marielena Balouris	TRUE
Philip Martin Matel	TRUE
Nikhila	TRUE
INQUIRER Sports	TRUE
Paolo del Rosario	TRUE
Koppulaeshwar	TRUE
India in Jamaica	TRUE
Rob Longley	TRUE
British Gymnastics	TRUE
Firstpost Sports	TRUE
Oneindia News	TRUE
Martin J P	TRUE
Alexandre Krauss	TRUE
The Times Of India	TRUE
ITF	TRUE
Devin Heroux	TRUE
Sky Bet #RequestABet	TRUE
Pramila Dixit	TRUE
News18 Sports	TRUE
Phil Lutton	TRUE
Boxing Federation	TRUE
International Hockey Federation	TRUE
The Field	TRUE
ROB Chandigarh	TRUE
GiveMeSportW	TRUE
Nagaland Congress	TRUE
Rameshnaidu Nagothu /Ö¯¯Ö¯?ÖÒ?Ö¯?ÖÒç Ö¯?Ö¯?Ö¯?ÖÒÅÖ¯≠ÖÒÅ????????	TRUE
The Age Sport	TRUE
Orlando Pride	TRUE
Rappler Sports	TRUE
MyGovIndia	TRUE
International Hockey Federation	TRUE
Boxing Federation	TRUE
The Tribune	TRUE
Ampere Electric Vehicles	TRUE
USA Boxing	TRUE
BWF	TRUE
Devin Heroux	TRUE
#3Sports	TRUE
Field Hockey Canada	TRUE
EastMojo	TRUE
IndiaToday	TRUE
Phil Lutton	TRUE
MAJALLA	TRUE
Australian Swim Team	TRUE
Boxing Federation	TRUE
Great Britain Hockey	TRUE
GMA Sports	TRUE
International Hockey Federation	TRUE
International Hockey Federation	TRUE
Tim Smith MP	TRUE
Times Sport	TRUE
Naveen Razik	TRUE
ABS-CBN News	TRUE
Luke 'Ming' Flanagan	TRUE
Deccan Herald	TRUE
FOX Sports Asia	TRUE
David Woods	TRUE
Gautam Adani	TRUE
Gretchen Ho	TRUE
DStv	TRUE
Boxing Federation	TRUE
SEN 1116	TRUE
INQUIRER Sports	TRUE
